Event	ID	Name			Wwise Object Path	Notes
	43599987	Play_ui_button			\Default Work Unit\Play_ui_button	
	98439365	Play_Player_Footsteps			\Default Work Unit\Play_Player_Footsteps	
	106681101	Play_character_attacked			\Default Work Unit\Play_character_attacked	
	535372708	Play_little_spider_footsteps_01			\Default Work Unit\Play_little_spider_footsteps_01	
	1241574133	Play_octopus_teleport			\Default Work Unit\Play_octopus_teleport	
	1523723936	Play_big_spider_footsteps			\Default Work Unit\Play_big_spider_footsteps	
	1741564502	Play_little_spider_footsteps			\Default Work Unit\Play_little_spider_footsteps	
	1741580086	Play_Second_candle			\Default Work Unit\Play_Second_candle	
	2558917896	Play_bomb_place_01			\Default Work Unit\Play_bomb_place_01	
	3020140973	Play_little_spider_incubation			\Default Work Unit\Play_little_spider_incubation	
	3175281290	Play_bomb_place			\Default Work Unit\Play_bomb_place	
	3331416737	Play_box_break			\Default Work Unit\Play_box_break	
	3738137027	Play_big_spider_incubation			\Default Work Unit\Play_big_spider_incubation	
	3854155799	Play_Footsteps			\Default Work Unit\Play_Footsteps	
	3867217528	Play_big_spider_shooting			\Default Work Unit\Play_big_spider_shooting	
	3878302902	Play_little_spider_falling			\Default Work Unit\Play_little_spider_falling	
	4166525010	Play_bomb_explosion			\Default Work Unit\Play_bomb_explosion	
	4168788445	Play_candle_burning			\Default Work Unit\Play_candle_burning	

State Group	ID	Name			Wwise Object Path	Notes
	621635301	bomb_explosion			\Default Work Unit\bomb_explosion	

State	ID	Name	State Group			Notes
	376462290	sea	bomb_explosion			
	491961918	forest	bomb_explosion			
	748895195	None	bomb_explosion			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	22203038	big_spider_footsteps_03	E:\Unity Projects\Wwise_ProjectLight\.cache\iOS\SFX\big_spider_footsteps_03_D38ACD86.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\big_spider\big_spider_footsteps\big_spider_footsteps_03		5765
	46592874	big_spider_footsteps_01	E:\Unity Projects\Wwise_ProjectLight\.cache\iOS\SFX\big_spider_footsteps_01_D38ACD86.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\big_spider\big_spider_footsteps\big_spider_footsteps_01		5882
	90250860	little_spider_footsteps_04	E:\Unity Projects\Wwise_ProjectLight\.cache\iOS\SFX\little_spider_footsteps_04_D38ACD86.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\little_spider\little_spider_footsteps\little_spider_footsteps_04		2394
	93494578	box_break	E:\Unity Projects\Wwise_ProjectLight\.cache\iOS\SFX\box_break_D38ACD86.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Bomb\box_break		9640
	117944658	little_spider_falling_04	E:\Unity Projects\Wwise_ProjectLight\.cache\iOS\SFX\little_spider_falling_04_D38ACD86.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\little_spider\little_spider_falling\little_spider_falling_04		26893
	189487169	Footstep_02	E:\Unity Projects\Wwise_ProjectLight\.cache\iOS\SFX\Footstep_02_D38ACD86.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Player_Footsteps\Footstep_02		3187
	224041703	bomb_explosion_sea	E:\Unity Projects\Wwise_ProjectLight\.cache\iOS\SFX\bomb_explosion_01_D38ACD86.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Bomb\bomb_explosion\bomb_explosion_sea		19561
	262506413	little_spider_footsteps_06	E:\Unity Projects\Wwise_ProjectLight\.cache\iOS\SFX\little_spider_footsteps_06_D38ACD86.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\little_spider\little_spider_footsteps\little_spider_footsteps_06		2329
	293102080	Footstep_03	E:\Unity Projects\Wwise_ProjectLight\.cache\iOS\SFX\Footstep_03_D38ACD86.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Player_Footsteps\Footstep_03		3032
	307342716	Footstep_05	E:\Unity Projects\Wwise_ProjectLight\.cache\iOS\SFX\Footstep_05_D38ACD86.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Player_Footsteps\Footstep_05		3291
	316551093	big_spider_shooting	E:\Unity Projects\Wwise_ProjectLight\.cache\iOS\SFX\big_spider_shooting_D38ACD86.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\big_spider\big_spider_shooting		8626
	365336052	candle_lit	E:\Unity Projects\Wwise_ProjectLight\.cache\iOS\SFX\candle_lit_247D2252.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Candle\Second_candle\candle_lit		5928
	397058062	candle_burning	E:\Unity Projects\Wwise_ProjectLight\.cache\iOS\SFX\candle_burning_D38ACD86.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Candle\Second_candle\candle_burning		148455
